StudentID,Date,Status
1,2025-01-01,Present
1,2025-01-02,Present
1,2025-01-03,Present
1,2025-01-04,Present
1,2025-01-05,Present
1,2025-01-06,Present
1,2025-01-07,Present
1,2025-01-08,Absent
1,2025-01-09,Present
1,2025-01-10,Absent
1,2025-01-11,Present
1,2025-01-12,Present
1,2025-01-13,Present
1,2025-01-14,Present
1,2025-01-15,Present
1,2025-01-16,Present
1,2025-01-17,Present
1,2025-01-18,Present
1,2025-01-19,Absent
1,2025-01-20,Present
1,2025-01-21,Present
1,2025-01-22,Present
1,2025-01-23,Present
1,2025-01-24,Present
1,2025-01-25,Present
1,2025-01-26,Present
1,2025-01-27,Absent
1,2025-01-28,Present
1,2025-01-29,Present
1,2025-01-30,Present
1,2025-01-31,Present
1,2025-02-01,Present
1,2025-02-02,Present
1,2025-02-03,Present
1,2025-02-04,Absent
1,2025-02-05,Present
1,2025-02-06,Present
1,2025-02-07,Present
1,2025-02-08,Absent
1,2025-02-09,Absent
1,2025-02-10,Present
1,2025-02-11,Present
1,2025-02-12,Absent
1,2025-02-13,Present
1,2025-02-14,Present
1,2025-02-15,Present
1,2025-02-16,Present
1,2025-02-17,Absent
1,2025-02-18,Present
1,2025-02-19,Present
1,2025-02-20,Present
1,2025-02-21,Present
1,2025-02-22,Present
1,2025-02-23,Present
1,2025-02-24,Present
1,2025-02-25,Present
1,2025-02-26,Present
1,2025-02-27,Present
1,2025-02-28,Present
1,2025-03-01,Present
1,2025-03-02,Absent
1,2025-03-03,Present
1,2025-03-04,Present
1,2025-03-05,Present
1,2025-03-06,Present
1,2025-03-07,Absent
1,2025-03-08,Present
1,2025-03-09,Present
1,2025-03-10,Present
1,2025-03-11,Present
1,2025-03-12,Absent
1,2025-03-13,Present
1,2025-03-14,Present
1,2025-03-15,Present
1,2025-03-16,Present
1,2025-03-17,Present
1,2025-03-18,Absent
1,2025-03-19,Absent
1,2025-03-20,Present
1,2025-03-21,Present
1,2025-03-22,Present
1,2025-03-23,Present
1,2025-03-24,Present
1,2025-03-25,Present
1,2025-03-26,Present
1,2025-03-27,Present
1,2025-03-28,Present
1,2025-03-29,Present
1,2025-03-30,Present
1,2025-03-31,Present
1,2025-04-01,Present
1,2025-04-02,Present
1,2025-04-03,Present
1,2025-04-04,Present
1,2025-04-05,Present
1,2025-04-06,Present
1,2025-04-07,Present
1,2025-04-08,Present
1,2025-04-09,Present
1,2025-04-10,Present
1,2025-04-11,Present
1,2025-04-12,Present
1,2025-04-13,Present
1,2025-04-14,Present
1,2025-04-15,Present
1,2025-04-16,Present
1,2025-04-17,Present
1,2025-04-18,Present
1,2025-04-19,Present
1,2025-04-20,Present
1,2025-04-21,Present
1,2025-04-22,Present
1,2025-04-23,Present
1,2025-04-24,Present
1,2025-04-25,Present
1,2025-04-26,Present
1,2025-04-27,Present
1,2025-04-28,Present
1,2025-04-29,Present
1,2025-04-30,Present
1,2025-05-01,Present
1,2025-05-02,Absent
1,2025-05-03,Present
1,2025-05-04,Present
1,2025-05-05,Present
1,2025-05-06,Present
1,2025-05-07,Present
1,2025-05-08,Absent
1,2025-05-09,Present
1,2025-05-10,Absent
1,2025-05-11,Present
1,2025-05-12,Present
